title|building|price|address|metro|description|link
26 м², квартира-студия|ЖК «Остафьево», 11 этаж из 14|36 000 ₽ / мес.|поселение Рязановское, улица Логинова, 3|Щербинка|Сдаётся впервые студия площадью 26 кв.м. с евроремонтом на 11 этаже в 14-этажном доме. Техника и мебель новая. В квартире есть диван MOON. Из техники есть:  Стиральная машина  Холодильник  Микроволновка  Электрическая варочная панель  Вытяжка Дом -|https://realty.ya.ru//offer/5333990059305775127/
25 м², квартира-студия|ЖК «Новое Внуково», 11 этаж из 14|39 000 ₽ / мес.|дачный посёлок Кокошкино, улица Стожарова, 11|Кокошкино|Заезд возможен с 09.04.2024. Сдаётся студия площадью 25 кв.м. с евроремонтом на 11 этаже в 14-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - монолитный, окна выходят на улицу. Есть|https://realty.ya.ru//offer/6708642209360227992/
25 м², 1-комнатные апартаменты|Апарт-комплекс Alcon Tower, 13 этаж из 35|110 000 ₽ / мес.|Ленинградский проспект, 34А|Динамо|"Лот: 104450. Эксклюзив. Предлагаются в аренду уютные однокомнатные апартаменты в ЖК ""Alcon Tower"". Планировка: кухня, спальня, совмещенный санузел, прихожая. Апартаменты полностью меблированы, в наличии вся необходимая бытовая техника для комфортного"|https://realty.ya.ru//offer/5227620387823354391/
57 м², 2-комнатная квартира|5 этаж из 5|65 000 ₽ / мес.|Ботаническая улица, 8|Владыкино|Заезд возможен с 09.04.2024. Сдаётся 2-комнатная квартира площадью 57 кв.м. с косметическим ремонтом на 5 этаже в 5-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Бойлер  Микроволновка  Пылесос Дом -|https://realty.ya.ru//offer/148398236587202382/
45 м², 2-комнатная квартира|6 этаж из 9|65 000 ₽ / мес.|Смольная улица, 45|Беломорская|Превосходное жилищное предложение! Свежий ремонт в квартире, вы будете первым, кто ощутит уют этого пространства. Ни кто ранее не проживал здесь. Прямая аренда от собственника, без посредников. по договоренности залог можно разбирать на 2 платежа!|https://realty.ya.ru//offer/5092771534347951617/
39 м², 1-комнатная квартира|ЖК «ЭкоБунино», 11 этаж из 12|32 000 ₽ / мес.|поселение Сосенское, проспект Куприна, 34к2|Ольховая|Заезд возможен с 03.05.2024. Сдаётся 1-комнатная квартира площадью 39 кв.м. с косметическим ремонтом на 11 этаже в 12-этажном доме. Из техники есть:  Телевизор  Стиральная машина  Холодильник Дом - монолитный, окна выходят на улицу. В подъезде 2|https://realty.ya.ru//offer/7622043094092979733/
41 м², 2-комнатная квартира|3 этаж из 5|35 500 ₽ / мес.|посёлок Знамя Октября, 30|Силикатная|Заезд возможен с 06.05.2024. Сдаётся 2-комнатная квартира площадью 41 кв.м. с косметическим ремонтом на 3 этаже в 5-этажном доме. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - кирпичный, окна выходят во|https://realty.ya.ru//offer/8365616036674801431/
30 м², квартира-студия|Новые Ватутинки мкр. «Десна», 2 этаж из 14|33 000 ₽ / мес.|поселение Десёновское, Мостовая улица, 5к1|Филатов Луг|Заезд возможен с 10.04.2024. Сдаётся студия площадью 30 кв.м. с евроремонтом на 2 этаже в 14-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер  Микроволновка Дом - монолитный, окна выходят во двор. В|https://realty.ya.ru//offer/8043961968320838698/
55 м², 2-комнатная квартира|14 этаж из 16|65 000 ₽ / мес.|улица Плещеева, 30|Бибирево|Сдаётся 2-комнатная квартира площадью 55 кв.м. с евроремонтом на 14 этаже в 16-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Пылесос Дом - панельный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и 1|https://realty.ya.ru//offer/1879723047360957882/
22 м², квартира-студия|ЖК «Облака 2.0», 8 этаж из 25|34 500 ₽ / мес.|Люберцы, Солнечная улица, 2|Люберцы|Заезд возможен с 22.04.2024. О КВАРТИРЕ Студия в доме 2023 года от застройщика «3-RED» в ЖК «Облака 2.0». Техника: холодильник, электрическая варочная панель, вытяжка, пылесос, утюг Мебель: кухонный гарнитур со встроенной техникой, обеденный стол, 2|https://realty.ya.ru//offer/4567281540106002759/
38 м², 1-комнатная квартира|Новые Ватутинки мкр. «Десна», 3 этаж из 15|37 000 ₽ / мес.|поселение Десёновское, Гренадерская улица, 9к2|Ольховая|Сдаётся 1-комнатная квартира площадью 38 кв.м. с евроремонтом на 3 этаже в 15-этажном доме. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник Дом - монолитный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и 1 пассажирский. Во|https://realty.ya.ru//offer/5554598044209896847/
50 м², 3-комнатная квартира|Кольская 8, 7 этаж из 25|87 000 ₽ / мес.|Кольская улица, 8к2|Свиблово|Сдаётся 3-комнатная квартира площадью 50 кв.м. с евроремонтом на 7 этаже в 25-этажном доме. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник Дом - монолитный, окна выходят во двор и на улицу. В подъезде 3 лифта - 2 грузовых и 1|https://realty.ya.ru//offer/8968612980817042054/
72 м², 3-комнатная квартира|1 этаж из 17|82 000 ₽ / мес.|улица Верхние Поля, 42к1|Люблино|Сдаётся 3-комнатная квартира площадью 72 кв.м. с косметическим ремонтом на 1 этаже в 17-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка Дом - панельный, окна выходят во двор|https://realty.ya.ru//offer/4391233410669214178/
37 м², 2-комнатная квартира|Жилой район «Скандинавия», 9 этаж из 15|39 000 ₽ / мес.|поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига, 18к1|Бульвар адмирала Ушакова|Заезд возможен с 25.04.2024. Сдается благоустроенная квартира для комфортного проживания на длительный срок. Подробно ознакомиться с обустройством можно по фото. Из окон открывается вид на развитый район. Есть места для сна, работы, обеденная зона и|https://realty.ya.ru//offer/7054856940544556828/
29 м², 1-комнатная квартира|1 этаж из 5|39 000 ₽ / мес.|Анадырский проезд, 17/1|Бабушкинская|Заезд возможен с 17.04.2024. Сдаётся 1-комнатная квартира площадью 29 кв.м. с косметическим ремонтом на 1 этаже в 5-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - кирпичный, окна выходят|https://realty.ya.ru//offer/2824492968833433734/
31 м², 1-комнатная квартира|ЖК «ЭкоБунино», 11 этаж из 17|44 000 ₽ / мес.|поселение Сосенское, проспект Куприна, 30к9|Ольховая|Сдаётся 1-комнатная квартира площадью 31 кв.м. с евроремонтом на 11 этаже в 17-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка Дом - монолитный, окна выходят на улицу. В|https://realty.ya.ru//offer/4783364125146215674/
59 м², 3-комнатная квартира|Шереметьевский, 4 этаж из 14|109 000 ₽ / мес.|Складочная улица, 6к3|Савёловская|Сдаётся квартира в ЖК «Шереметьевский» от ведущего застройщика «ПИК». Дом построен по индивидуальному проекту в 2021 г. О КВАРТИРЕ  Техника: индукционная плита, духовой шкаф, стиральная, сушильная и посудомоечная машины, холодильник, телевизор|https://realty.ya.ru//offer/6029703616868881127/
37 м², 1-комнатная квартира|Новые Ватутинки мкр. «Центральный», 14 этаж из 17|35 500 ₽ / мес.|поселение Десёновское, Нововатутинский проспект, 9|Ольховая|Сдаётся 1-комнатная квартира площадью 37 кв.м. с косметическим ремонтом на 14 этаже в 17-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник Дом - панельный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и|https://realty.ya.ru//offer/5462833266904969337/
20 м², квартира-студия|Середневский лес, 13 этаж из 14|34 000 ₽ / мес.|улица Усадебный Парк, 7|Филатов Луг|Сдаётся студия площадью 20 кв.м. с евроремонтом на 13 этаже в 14-этажном доме. Из техники есть:  Стиральная машина  Холодильник  Микроволновка Также в квартире есть электрический чайник и посуда для индукционной плиты. Вся техника и мебель в квартире|https://realty.ya.ru//offer/8500693338943168186/
75 м², 3-комнатная квартира|7 этаж из 7|54 500 ₽ / мес.|Троицк, улица Академика Черенкова, 15|Ольховая|Сдаётся 3-комнатная квартира площадью 75 кв.м. с евроремонтом на 7 этаже в 7-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка  Пылесос Дом - панельный, окна|https://realty.ya.ru//offer/1916805967276746033/
26 м², квартира-студия|4 этаж из 5|47 500 ₽ / мес.|Верхняя Первомайская улица, 45А|Первомайская|Заезд возможен с 29.04.2024. Сдаётся студия площадью 26 кв.м. с косметическим ремонтом на 4 этаже в 5-этажном доме. Из техники есть:  Стиральная машина  Холодильник  Микроволновка Дом - кирпичный, окна выходят во двор. Во дворе есть бесплатная|https://realty.ya.ru//offer/2187484398864734403/
63 м², 3-комнатная квартира|3 этаж из 12|65 000 ₽ / мес.|Союзный проспект, 9к1|Новогиреево|Заезд возможен с 16.04.2024. Сдаётся 3-комнатная квартира площадью 63 кв.м. с косметическим ремонтом на 3 этаже в 12-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - блочный, окна выходят во|https://realty.ya.ru//offer/4882830762613427720/
29 м², квартира-студия|Квартал «Символ», 11 этаж из 13|64 990 ₽ / мес.|шоссе Энтузиастов, 3к1|Римская|Идут показы с датой заселения после 16.04.2024. Доступна к просмотру и бронированию! Предлагается в долгосрочную аренду светлая студия в арендном доме «Символ» от ДОМ.РФ. №57 Доступна рассрочка оплаты депозита на 3 месяца! Без комиссии. Разрешено|https://realty.ya.ru//offer/244123867117854364/
56 м², 2-комнатная квартира|Бутово парк 2, 18 этаж из 25|47 000 ₽ / мес.|Ленинский городской округ, рабочий посёлок Дрожжино, Южная улица, 11к4|Бутово|Сдаётся 2-комнатная квартира площадью 56 кв.м. с евроремонтом на 18 этаже в 25-этажном доме. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник Дом - панельный, окна выходят во двор. В подъезде 4 лифта - 4 грузовых и 0|https://realty.ya.ru//offer/600396292620744024/
28 м², квартира-студия|Новые Ватутинки мкр. «Центральный», 8 этаж из 16|29 500 ₽ / мес.|поселение Десёновское, 3-я Нововатутинская улица, 2|Ольховая|Сдаётся студия площадью 28 кв.м. с евроремонтом на 8 этаже в 16-этажном доме. Из техники есть:  Стиральная машина  Холодильник Дом - монолитный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и 1 пассажирский. Во дворе есть бесплатная|https://realty.ya.ru//offer/3287523342832417067/
